id,name,ostan,shahrestan,bakhsh,amar_code
668,جم,7,133,675,1809020001
669,جمال آباد,8,106,392,2313010001
670,جمال الدین,5,422,624,3003010002
671,جمع آبرود,8,191,687,2302020004
672,جناح,29,74,176,2209010001
673,جنت آباد,11,285,178,940020001
674,جنت رودبار,27,203,251,206020001
675,جنت مکان,13,359,773,620020001
676,جندق,4,171,604,1023010002
677,جنگل,11,212,179,927010001
678,جنگل,17,309,840,708030001
679,جواران,21,200,1093,818020002
680,جوانمردی,9,153,699,1410010002
681,جور,21,351,889,814020001
682,جوزار,17,401,181,713060001
683,جوزان,30,398,1009,1302030001
684,جوزدان,4,419,617,1014020001
685,جوزم,21,279,267,807020001
686,جوستان,5,289,70,3004020001
687,جوشان,21,338,535,808030001
688,جوشق,28,190,982,5010004
689,جوشقان قالی,4,332,465,1010020001
690,جوشین,1,436,225,324010002
691,جوقین,8,282,182,2309030001
692,جوکار,30,398,183,1302010004
693,جون آباد,16,415,557,1117020003
694,جونقان,9,297,185,1403040001
695,جویم,17,373,186,711020002
696,جهاد,13,150,544,625020002
697,جهادآباد,21,296,883,812010002
698,جهان آباد,16,447,816,1111010003
699,جهانگیری,13,394,775,613030001
700,جهانگیری شمالی,13,394,775,613030002
701,جهلیان,16,345,810,1109020001
702,جی,4,37,596,1002030003
703,جیحون دشت,30,443,391,1304050001
704,جیرانسو,12,384,751,2806030001
705,جیرده,25,274,938,112020001
706,جیرستان,12,284,340,2804010002
707,جیرنده,25,217,429,106020001
708,جیرهنده لشت نشاء,25,211,564,105040001
709,چاپارخانه,25,211,242,105010002
710,چاراویماق جنوب شرقی,1,140,379,323010001
711,چاراویماق جنوب غربی,1,140,642,323020001
712,چاراویماق شرقی,1,140,379,323010002
713,چاراویماق شمالشرقی,1,440,653,311020006
714,چاراویماق مرکزی,1,140,642,323020002
715,چاشم,15,405,402,2005010002
716,چاف,25,380,943,110010001
717,چالانچولان,26,193,372,1505010001
718,چالدران جنوبی,2,141,662,414020001
719,چالدران شمالی,2,141,662,414020002
720,چاله طرخان,8,221,462,2303060002
721,چانف,16,433,12,1107060001
722,چاه احمد,16,120,1057,1121020002
723,چاه دادخدا,21,326,190,816010001
724,چاه دشت,30,443,391,1304050002
725,چاه ریگان,21,356,192,809050001
726,چاه سالم,13,43,752,616020002
727,چاه علی,16,189,169,1112020002
728,چاه کوتاه,7,88,196,1801030002
729,چاه گز,17,66,220,735020002
730,چاه مبارک,7,294,191,1810020002
731,چاه ورز,17,375,193,715050001
732,چاهان,16,433,813,1107050001
733,چاهدگال,21,313,1067,819020002
734,چاهک,31,151,1018,2109010001
735,چایباسارجنوبی,2,383,669,406040001
736,چایباسارشرقی,2,110,659,415020001
737,چایباسارشمالی,2,383,64,406050001
738,چایباغ,27,261,1055,227020001
739,چایپاره بالا,14,230,317,1904020001
740,چایپاره پایین,14,230,317,1904020004
741,چپکرود,27,135,554,221010001
742,چراغ آباد,29,416,148,2205040002
743,چرام,23,145,895,1706010001
744,چشمه پر,26,41,79,1501050002
745,چشمه زیارت,16,225,803,1105010001
746,چشمه سار,4,170,603,1004010002
747,چشمه ساران,24,8,195,2710010001
748,چشمه سرا,2,278,453,417010001
749,چشمه کبود,22,438,914,511020001
750,چشمه لنگان,4,306,610,1007010004
751,چغاپور,7,186,473,1804010001
752,چغاخور,9,72,91,1401040002
753,چغامیش,13,183,197,608030001
754,چقانرگس,22,339,576,502060001
755,چلاو,27,14,46,201040002
756,چلو,13,45,199,621020001
757,چلوند,25,9,568,101020001
758,چله,22,372,913,508010001
759,چله خانه,1,273,415,314010001
760,چم چمال,22,438,117,511010001
761,چم خلف عیسی,13,444,200,618020001
762,چم رود,4,378,67,1012010001
763,چم سنگر,26,157,120,1503020001
764,چم کوه,4,378,67,1012010003
765,چما,9,234,700,1408010002
766,چمزی,6,400,633,1608010001
767,چمن,2,122,141,412020003
768,چنار,23,90,477,1701050001
769,چناران,11,148,723,918020001
770,چنارشاهیجان,17,350,845,733010001
771,چنارودجنوبی,4,139,202,1020010001
772,چنارودشمالی,4,139,202,1020010002
773,چنانه,13,276,435,614030001
774,چندار,5,235,203,3002030002
775,چوبر,25,274,17,112010002
776,چوبر,25,291,223,104060002
777,چوپانان,4,418,50,1013010002
778,چورزق,14,288,206,1908010001
779,چورس,2,144,663,416020002
780,چوقور,18,322,419,2603040001
781,چوکام,25,211,242,105010001
782,چهارچشمه,28,165,499,4020001
783,چهاردانگه,5,235,207,3002040001
784,چهاردانگه,8,33,209,2310010001
785,چهاردانگه,27,233,210,207010002
786,چهاردانگه جنوبی,1,445,208,327020002
787,چهاردانگه شمالی,1,445,208,327020001
788,چهاردولی,2,271,487,411020003
789,چهاردولی,30,29,1002,1306010004
790,چهاردولی شرقی,20,321,211,1205040001
791,چهاردولی غربی,20,321,211,1205040002
792,چهارده,25,10,931,102020004
793,چهارده سنخواست,12,129,172,2803010001
794,چهارفریضه,25,81,932,103010001
795,چهارکوه,24,337,921,2704010001
796,چهارگنبد,21,264,93,806050002
797,چهرگان,1,273,143,314030001
798,چهریق,2,255,511,405020001
799,چهل چای,24,417,928,2707040001
800,چهل چشمه,20,199,863,1207020001
801,چهل چشمه غربی,20,252,346,1203030001
802,چهل شهید,27,203,251,206020002
803,چیچکلو,8,33,15,2310030002
804,چین,23,90,567,1701040002
805,چینی جان,25,219,936,107030002
806,حاجی آباد,28,19,977,1020010
807,حاجی بکنده خشکبیجار,25,211,238,105060001
808,حاجیلارجنوبی,2,144,212,416010002
809,حاجیلارشمالی,2,144,212,416010001
810,حاجیلو,30,335,1008,1305020001
811,حبلرود,8,315,691,2314020003
812,حتکن,21,227,880,805020012
813,حتی,13,374,214,617020002
814,حر,22,286,273,510010001
815,حرجند,21,207,513,811010001
816,حرم رودسفلی,30,398,331,1302020002
817,حرم رودعلیا,30,398,1009,1302030002
818,حرمک,16,225,803,1105010002
819,حسن آباد,8,221,440,2303020001
820,حسن آباد,17,39,216,703030002
821,حسن آباد,22,32,901,501030001
822,حسن آباد,22,215,906,514020002
823,حسن رضا,27,135,960,221020001
824,حسنلو,2,423,577,409030002
825,حسین آباد,4,419,1042,1014030002
826,حسین آباد,13,276,770,614020003
827,حسین آباد,21,44,49,820010002
828,حسین آباد,21,138,34,803050002
829,حسین آباد کردها,15,6,787,2006010002
830,حسین آبادجنوبی,20,259,217,1204050001
831,حسین آبادشمالی,20,259,217,1204050002
832,حسین آبادگروه,21,338,279,808060001
833,حسینی,13,268,769,611010004
834,حسینیه,13,46,42,602010001
835,حشمت آباد,26,193,951,1505020001
836,حصار,12,298,230,2805010002
837,حصارامیر,8,106,684,2313020001
838,حصارچه,12,201,162,2808030002
839,حصارخروان,18,40,578,2605010001
840,حصارولیعصر,18,15,855,2606010001
841,حکم آباد,11,136,425,936020002
842,حکیم آباد,28,228,983,10020001
843,حمزه لو,28,165,980,4010003
844,حمیری,16,325,328,1118020002
845,حمیل,22,32,219,501010004
846,حنا,4,257,606,1005020001
847,حناء,17,66,220,735020001
848,حور,21,299,221,822020001
849,حومه,1,239,644,305010003
850,حومه,7,88,673,1801020002
851,حومه,7,185,676,1803030003
852,حومه,7,197,678,1805020002
853,حومه,7,198,679,1808020002
854,حومه,7,346,681,1806020004
855,حومه,9,72,697,1401030001
856,حومه,9,79,698,1409010001
857,حومه,9,281,701,1402020001
858,حومه,10,303,33,2907030003
859,حومه,11,163,724,929020001
860,حومه,11,369,740,915020002
861,حومه,11,403,742,930020001
862,حومه,12,284,748,2804020001
863,حومه,12,384,751,2806030002
864,حومه,13,46,754,602020001
865,حومه,13,95,762,606030002
866,حومه,13,441,776,622020001
867,حومه,14,18,779,1901030002
868,حومه,14,155,781,1903030002
869,حومه,15,177,788,2001020001
870,حومه,15,256,789,2002010001
871,حومه,15,270,790,2003030001
872,حومه,15,363,791,2004020001
873,حومه,16,52,794,1101050002
874,حومه,16,240,805,1106040002
875,حومه,16,415,812,1117010003
876,حومه,17,373,847,711040001
877,حومه,17,375,848,715010003
878,حومه,20,98,861,1202030001
879,حومه,20,199,863,1207020003
880,حومه,20,259,866,1204030004
881,حومه,21,77,873,802030001
882,حومه,21,356,192,809050002
883,حومه,22,372,913,508010002
884,حومه,22,438,914,511020002
885,حومه,25,211,933,105050003
886,حومه,25,382,944,116020001
887,حومه,29,84,993,2203050001
888,حومه,29,323,1000,2204020001
889,حومه,29,416,1001,2205030003
890,حومه جنوبی,22,32,901,501030002
891,حومه دهگلان,20,195,862,1210010002
892,حومه سرپل,22,244,907,504010003
893,حومه شرقی,13,51,756,604030002
894,حومه شرقی,13,160,764,607010001
895,حومه شرقی,13,184,766,609020002
896,حومه شرقی,13,205,768,610020003
897,حومه شمالی,22,32,901,501030003
898,حومه غربی,13,51,756,604030003
899,حومه غربی,13,160,764,607010002
900,حومه غربی,13,184,766,609020003
901,حومه غربی,13,205,768,610020004
902,حومه کرند,22,176,905,513020003
903,حویق,25,291,223,104060001
904,حیات داود,7,370,682,1807030001
905,حیدریه,22,372,547,508020001
906,حیران,25,9,930,101010001
907,حیقوق نبی,30,125,1004,1301020001
908,خاتون آباد,21,138,874,803040005
909,خاتون آباد,21,279,882,807010004
910,خالدآباد,4,421,45,1015020002
911,خاله سرا,25,291,29,104050002
912,خانگیران,11,246,732,920020002
913,خانمرود,1,439,652,316020002
914,خانمیرزا,9,153,699,1410010001
915,خانندبیل شرقی,3,162,588,2403040001
916,خانندبیل غربی,3,162,588,2403040002
917,خانوک,21,227,880,805020011
918,خانه شور,22,128,903,512010001
919,خاوران شرقی,8,221,226,2303050001
920,خاوران غربی,8,221,226,2303050002
921,خاوومیرآباد,20,393,227,1206010001
922,خاوه جنوبی,26,188,228,1504030001
923,خاوه شمالی,26,188,228,1504030002
924,خبر,21,60,229,801040001
925,خبر,21,279,267,807020002
926,خبریز,17,25,817,717010001
927,خدابنده لو,22,286,909,510020002
928,خرارود,14,155,781,1903030003
929,خرارود,25,262,937,115020002
930,خرازان,28,121,979,3020003
931,خرجگیل,25,291,29,104050003
932,خرقان,15,270,87,2003010001
933,خرقان,30,209,1006,1308030001
934,خرقان شرقی,18,15,5,2606020002
935,خرقان غربی,18,15,855,2606010002
936,خرم آباد,18,113,30,2602010002
937,خرم دشت,4,332,612,1010030004
938,خرم دشت,28,165,499,4020002
939,خرم رود,4,378,614,1012030002
940,خرم رود,30,125,1004,1301020002
941,خرم مکان,17,392,475,712030001
942,خرمارودجنوبی,24,8,195,2710010002
943,خرمارودشمالی,24,8,915,2710020001
944,خرمدره,14,159,782,1907010002
945,خرمدشت,21,351,889,814020002
946,خرمدشت,30,300,1007,1309010001
947,خرمی,17,158,828,718020001
948,خزل شرقی,30,428,235,1303010001
949,خزل غربی,22,347,912,507010001
950,خسروآباد,20,98,204,1202010003
951,خسروبیک,28,344,1050,11020001
952,خسروشیرین,17,2,110,701050001
953,خسویه,17,229,834,719020001
954,خشک رود,28,228,983,10020002
955,خشکرود,27,56,291,216040002
956,خضرلو,1,293,646,325020001
957,خطبه سرا,25,291,485,104040003
958,خفر,17,161,829,734010002
959,خفرک علیا,17,392,369,712060001
960,خفری,17,238,835,706020001
961,خلازیر,8,126,11,2301030002
962,خلیلی,17,361,846,727010002
963,خمک,16,231,165,1110010002
964,خمه,26,41,946,1501030005
965,خمیر,29,164,997,2210020001
966,خنامان,21,214,877,804020004
967,خنجشت,17,39,819,703020003
968,خنجین,28,302,244,13020001
969,خنداب,28,168,981,12020001
970,خندان,18,322,419,2603040002
971,خواجه احمد,16,231,804,1110020001
972,خواجه ای,17,314,1051,709040002
973,خوارتوران,15,270,113,2003020002
974,خواشد,11,237,286,908050001
975,خور,10,172,708,2910010002
976,خورخوره,20,98,861,1202030002
977,خورخوره,20,252,43,1203040003
978,خورسند,21,279,882,807010006
979,خورش رستم جنوبی,3,162,246,2403010001
980,خورش رستم شمالی,3,162,246,2403010002
981,خورگام,25,217,247,106040001
982,خورموج,7,186,677,1804020001
983,خورمیز,31,409,1019,2104010003
984,خورهه,28,387,988,9010002
985,خوزی,17,406,1081,721030001
986,خوسف,10,172,708,2910010001
987,خوش رود,27,55,100,202010001
988,خوشابر,25,213,934,114020001
989,خیبر,13,183,197,608030002
990,خیر,17,28,299,702010001
991,خیرآباد,16,78,795,1120010003
992,خیرآباد,17,156,827,729020003
993,خیرگو,17,375,428,715040001
994,خیرودکنار,27,427,976,215040002
995,دابوی جنوبی,27,14,248,201030001
996,دابوی شمالی,27,388,341,218010001
997,دابوی میانی,27,14,248,201030003
998,داجیوند,6,442,635,1611010002
999,دادنجان,17,314,1051,709040003
1000,دادین,17,331,163,710010002
1001,داران,1,132,641,319020003
1002,داربید,6,442,164,1611020002
1003,دارخوین,13,268,249,611030001
1004,داریان,17,283,838,707050002
1005,دال پری,6,196,1037,1603030004
1006,دالانکوه,4,305,609,1006030001
1007,دالکی,7,185,676,1803030004
1008,دالون,23,381,900,1709010003
1009,دامن,16,52,252,1101060001
1010,دامن کوه,12,30,744,2801020002
1011,دامنکوه,15,177,788,2001020002
1012,دانش,8,319,692,2316010001
1013,داودآباد,28,19,977,1020003
1014,دبیران,17,229,834,719020002
1015,درآبسر,29,75,549,2213020002
1016,درآگاه,29,149,996,2208020001
1017,درازکلا,27,55,61,202040002
1018,دراک,17,283,838,707050003
1019,درام,14,288,785,1908020002
1020,درب گنبد,26,352,253,1506050002
1021,دربقاضی,11,432,743,917040001
1022,دربند,12,129,172,2803010002
1023,دربندرود,30,29,1002,1306010005
1024,درپهن,29,416,358,2205020002
1025,درجزین,15,405,792,2005020001
1026,درح,10,243,254,2903030002
1027,درختنگان,21,338,887,808050004
1028,درزآب,11,396,741,916050006
1029,درزوسابیان,17,373,847,711040002
1030,درسجین,14,18,779,1901030003
1031,درگزین سفلی,30,180,1005,1310020001
1032,درگزین شرقی,30,180,386,1310010001
1033,درگزین علیا,30,180,386,1310010002
1034,درگزین غربی,30,180,1005,1310020002
1035,درگس,16,187,74,1122020002
1036,درمیان,10,181,709,2902030001
1037,درواهی,7,185,1,1803060001
1038,درودزن,17,392,255,712050002
1039,درونک,13,95,323,606020001
1040,درونگر,11,179,1072,907040001
1041,درونه,11,69,48,923010001
1042,دره دران,21,214,877,804020005
1043,دره شور,4,257,1082,1005040002
1044,دره صیدی,26,71,947,1502020001
1045,دره کاید,13,183,403,608040001
1046,دریاسر,25,380,509,110030001
1047,دریجان,21,77,873,802030003
1048,دریس,17,331,843,710040002
1049,دریسیه,13,268,249,611030002
1050,درین,31,414,89,2106030002
1051,دزلی,20,250,864,1209020007
1052,دژکرد,17,39,335,703010002
1053,دژگان,29,84,1040,2203060002
1054,دژگاه,17,301,269,722020004
1055,دستجرد,1,5,548,321010002
1056,دستجرد,18,322,289,2603030003
1057,دستجرد,19,327,240,2501020001
1058,دستجرده,14,288,206,1908010002
1059,دستگرد,9,281,437,1402060002
1060,دستگرد,16,433,98,1107010003
1061,دستگردان,10,290,256,2911010001
1062,دستوران,11,131,721,934010002
1063,دشت,3,395,592,2404020001
1064,دشت,4,280,608,1009020002
1065,دشت,2,26,373,401020002
1066,دشت ارزنه,11,57,715,937010002
1067,دشت ارژن,17,283,21,707060001
1068,دشت برم,17,331,843,710040005
1069,دشت بیل,2,36,657,413010002
1070,دشت تایباد,11,114,1046,904030002
1071,دشت جام,11,116,103,906040001
1072,دشت حر,22,128,903,512010002
1073,دشت خاک,21,227,880,805020004
1074,دشت ذهاب,22,244,907,504010004
1075,دشت روم,23,90,894,1701030001
1076,دشت زرین,9,353,703,1406020002
1077,دشت سر سفلی,27,14,955,201020007
1078,دشت سر شرقی,27,14,257,201050001
1079,دشت سر غربی,27,14,257,201050002
1080,دشت عباس,6,196,258,1603050001
1081,دشت کنار,27,267,966,226010002
1082,دشت لاله,17,406,36,721040002
1083,دشت لالی,13,374,774,617010001
1084,دشتاب,21,60,229,801040002
1085,دشتابی شرقی,18,91,259,2601060001
1086,دشتابی غربی,18,91,259,2601060002
1087,دشتویل,25,217,281,106010002
1088,دشتی اسماعیل خانی,7,185,1,1803060002
1089,دشمن زیاری,17,401,261,713050001
1090,دشمن زیاری,23,355,897,1702050002
1091,دلبران,20,321,262,1205050001
1092,دلفارد,21,138,329,803010001
1093,دلفک,25,217,247,106040002
1094,دلگان,16,189,800,1112010002
1095,دلند,24,206,919,2711020001
1096,دلوار,7,124,263,1802010002
1097,دنا,23,192,896,1704030002
1098,دنباله رودجنوبی,13,51,268,604020001
1099,دنباله رودشمالی,13,51,268,604020002
1100,دوآب,9,353,264,1406030001
1101,دوآب,26,253,953,1509020001
1102,دوبلوک,8,315,19,2314010003
1103,دوجاق,3,20,152,2401060002
1104,دودانگه,1,445,654,327010001
1105,دودانگه,13,95,762,606030003
1106,دودانگه سفلی,18,113,418,2602030001
1107,دودانگه علیا,18,113,418,2602030002
1108,دودراء,9,377,296,1404050002
1109,دودهک,28,190,982,5010001
1110,دوراهان,9,72,546,1401020003
1111,دورسونخواجه,3,431,594,2409010001
1112,دورود,26,193,951,1505020002
1113,دورودفرامان,22,339,911,502040003
1114,دوره,26,147,198,1510010002
1115,دوزج,28,228,232,10010003
1116,دوست محمد,16,447,816,1111010001
1117,دوستان,6,67,628,1610010002
1118,دوغایی,11,328,736,913030001
1119,دوکوهه,10,241,367,2906020001
1120,دول,2,26,656,401040007
1121,دولاب,29,323,215,2204040001
1122,دولت آباد,3,425,593,2408020001
1123,دولت آباد,1,391,649,307020002
1124,دولت آباد,14,18,779,1901030004
1125,دولت آباد,21,138,874,803040006
1126,دولت اباد,22,215,906,514020003
1127,دولتخانه,11,328,62,913010001
1128,دومک,16,225,1064,1105030001
1129,دوهزار,27,123,233,205040002
1130,دویره,7,88,196,1801030001
1131,ده پایین,6,53,625,1601030001
1132,ده پیر جنوبی,26,157,949,1503060002
1133,ده پیرشمالی,26,157,949,1503060003
1134,ده تل,29,74,990,2209020001
1135,ده چاه,17,430,130,714020003
1136,ده عباس,8,33,683,2310020001
1137,ده فیش,17,373,97,711070002
1138,ده کهان,21,356,888,809040005
1139,دهبکری,21,77,266,802080002
1140,دهج,21,279,267,807020003
1141,دهچال,28,168,981,12020002
1142,دهدز,13,51,268,604020003
1143,دهدشت شرقی,23,355,897,1702050003
1144,دهدشت غربی,23,355,897,1702050004
1145,دهرم,17,301,269,722020002
1146,دهرود,7,185,25,1803040002
1147,دهسرد,21,24,870,823010003
1148,دهشال,25,10,931,102020001
1149,دهشیر,31,119,1017,2103020005
1150,دهقانان,17,156,481,729010001
1151,دهکده,13,150,763,625010002
1152,دهکویه,17,373,847,711040003
1153,دهگاه,25,10,522,102010001
1154,دهملا,15,270,790,2003030002
1155,دهنو,29,82,461,2202060003
1156,دیباج,11,179,565,907020001
1157,دیره,22,372,913,508010004
1158,دیزج,2,174,664,403020003
1159,دیزجرودشرقی,1,293,459,325010001
1160,دیزجرودغربی,1,293,646,325020002
1161,دیزمارشرقی,1,154,1033,326030001
1162,دیزمارغربی,1,132,377,319010001
1163,دیزمارمرکزی,1,436,225,324010003
1164,دیزیچه,4,386,615,1017010002
1165,دیکله,1,445,654,327010002
1166,دیلمان,25,262,272,115010002
1167,دیمکاران,30,93,410,1307030001
1168,دیناچال,25,213,128,114010001
1169,دیناران,9,23,696,1405010003
1170,دینور,22,286,273,510010002
1171,دیوشل,25,380,943,110010003
1172,دیهوک,10,290,274,2911030001
1173,ذلقی شرقی,26,41,275,1501040002
1174,ذلقی غربی,26,41,275,1501040003
1175,ذوالبین,1,391,1096,307030001
1176,ذوالفقار,20,252,346,1203030002
1177,ذیلایی,13,394,430,613050002
1178,رابر,21,200,875,818010001
1179,رادکان,11,148,723,918020002
1180,راز,12,201,747,2808010001
1181,رازآور,22,339,119,502080001
1182,رازان,26,157,305,1503050001
1183,رازلیق,1,239,644,305010004
1184,راستقان,12,201,432,2808020002
1185,راستوپی,27,260,964,208020001
1186,راسک وفیروزآباد,16,202,801,1108030002
1187,راک,23,355,364,1702070001
1188,رامجرددو,17,392,255,712050003
1189,رامجردیک,17,392,849,712040005
1190,رامجین,5,235,207,3002040002
1191,رامشه,4,37,161,1002040002
1192,رامندجنوبی,18,91,276,2601020002
1193,رامندشمالی,18,113,234,2602020002
1194,راور,21,207,876,811020001
1195,راویز,21,214,488,804030001
1196,راهب,30,335,1008,1305020002
1197,راهجردشرقی,19,327,354,2501050001
1198,راهدار,29,216,998,2207020006
1199,راهگان,17,161,278,734020001
1200,راهگان شمالی,17,161,278,734020002
1201,راین,21,338,279,808060002
1202,رباط,11,237,731,908070001
1203,رباط,26,157,949,1503060004
1204,رباط جز,11,173,726,938010002
1205,رباطات,31,22,231,2101010002
1206,ربع شامات,11,237,393,908060003
1207,رحمت,17,392,369,712060002
1208,رحمت آباد,17,226,280,730020001
1209,رحمت آباد,25,217,281,106010003
1210,رحیم آباد,25,219,282,107020003
1211,رزآب,20,250,864,1209020004
1212,رزق آباد,11,333,436,914050001
1213,رزکان,8,282,690,2309020004
1214,رزم آوران,21,214,877,804020007
1215,رزن,30,209,1006,1308030002
1216,رستاق,11,163,724,929020002
1217,رستاق,17,175,283,705020002
1218,رستاق,17,430,852,714030001
1219,رستاق,28,165,980,4010005
1220,رستاق,31,35,1014,2108020001
1221,رستم آباد,13,205,353,610040002
1222,رستم آباد جنوبی,25,217,935,106030001
1223,رستم آباد شمالی,25,217,935,106030002
1224,رستم دو,17,210,832,726020002
1225,رستم سه,17,210,361,726010001
1226,رستم یک,17,210,832,726020001
1227,رشتخوار,11,212,729,927020002
1228,رضاقلی قشلاق,3,431,594,2409010002
1229,رضامحله,25,219,936,107030003
1230,رضوان,15,410,474,2007020001
1231,رضوان,21,138,158,803020001
1232,رضوان,21,214,438,804050001
1233,رضوانیه,4,127,600,1019020001
1234,رغیوه,13,441,285,622010001
1235,رقه,10,76,23,2908020002
1236,رقیچه,11,117,479,905050005
1237,رمشک,21,326,190,816010002
1238,رمکان,29,323,1000,2204020002
1239,روداب شرقی,21,420,287,821020001
1240,روداب غربی,21,77,83,802070001
1241,رودبار,6,265,632,1609010001
1242,رودبار,15,177,788,2001020003
1243,رودبار,21,218,878,815020001
1244,رودبار,28,121,979,3020002
1245,رودبار,29,164,300,2210010001
1246,رودبار شهرستان,18,322,289,2603030001
1247,رودبار محمدزمانی,18,322,289,2603030002
1248,رودبارقصران,8,275,290,2304010001
1249,رودبال,17,392,849,712040007
1250,رودبنه,25,376,292,111040001
1251,رودپی شرقی,27,233,293,207060002
1252,رودپی غربی,27,233,293,207060003
1253,رودپیش,25,312,941,109020002
1254,رودحله,7,370,302,1807020001
1255,رودخانه,29,216,295,2207010001
1256,رودخانه بر,29,216,295,2207010003
1257,رودزرد,13,59,759,615020002
1258,رودشت,4,37,168,1002060002
1259,رودشت شرقی,4,37,96,1002050001
1260,رودشور,28,228,983,10020003
1261,رودقات,1,273,415,314010002
1262,روشن آباد,24,362,924,2705020004
1263,روضه چای,2,26,656,401040008
1264,رومشکان,26,220,952,1511020001
1265,رومیانی,26,220,362,1511010002
1266,رونیز,17,28,299,702010002
1267,رویدر,29,164,300,2210010002
1268,رویین,12,30,744,2801020004
1269,رهال,2,174,664,403020004
1270,ریز,7,133,301,1809010002
1271,ریزآب,17,430,457,714040001
1272,ریگ,9,377,705,1404020004
1273,ریگ ملک,16,415,303,1117030001
1274,ریگان,21,222,879,817020002
1275,ریگستان,4,21,320,1001020002
1276,ریوند,11,432,743,917040002
1277,زابلی,16,408,811,1113010001
1278,زاخرویه,17,329,40,720010002
1279,زارم رود,27,424,1089,219020002
1280,زازران,4,310,467,1008030002
1281,زاغه,26,157,305,1503050002
1282,زالوآب,22,215,906,514020004
1283,زالیان,28,269,307,7030002
1284,زام,11,116,127,906050001
1285,زانوس رستاق,27,427,478,215020003
1286,زاوکوه,24,342,136,2709030001
1287,زاوه,11,224,730,935010001
1288,زاوین,11,340,308,928010002
1289,زاینده رود جنوبی,9,79,406,1409020002
1290,زاینده رودشمالی,4,305,609,1006030002
1291,زبرخان,11,432,310,917020003
1292,زرآبادشرقی,16,345,311,1109010001
1293,زرآبادغربی,16,345,311,1109010002
1294,زرانگوش,6,67,1092,1610020002
1295,زرج آباد,3,349,446,2407020001
1296,زردبن,16,202,137,1108010003
1297,زردشت,30,300,135,1309020002
1298,زردلان,6,442,164,1611020001
1299,زردین,31,119,1078,2103030002
1300,زرق آباد,12,30,744,2801020003
1301,زرقان,17,226,833,730010001
1302,زرکان,4,272,1052,1016020001
1303,زرگان,13,63,1085,624020002
1304,زرنه,6,54,312,1607010002
1305,زری,2,174,458,403050001
1306,زرین,9,234,309,1408020002
1307,زرین,11,136,425,936020001
1308,زرین,31,22,231,2101010003
1309,زرین دشت,6,182,630,1602030002
1310,زرین گل,24,295,920,2703010003
1311,زرینه,20,199,484,1207010002
1312,زرینه رود,2,411,671,408030004
1313,زرینه رود,14,155,85,1903020002
1314,زرینه رودجنوبی,2,411,671,408030002
1315,زرینه رودشمالی,2,411,671,408030003
1316,زریوار,20,393,869,1206030001
1317,ززشرقی,26,41,315,1501020001
1318,ززغربی,26,41,315,1501020002
1319,زفره,4,37,510,1002020005
1320,زمکان جنوبی,22,128,316,512030001
1321,زمکان شمالی,22,128,316,512030002
1322,زنجانرودبالا,14,230,783,1904050006
1323,زنجانرودپایین,14,230,317,1904020003
1324,زنجیره,6,146,389,1604040002
1325,زنگبار,2,110,659,415020002
1326,زنگلانلو,11,179,565,907020002
1327,زنگوان,6,265,470,1609020001
1328,زنگی آباد,21,338,887,808050005
1329,زنوزق,1,391,649,307020004
1330,زوارم,12,284,748,2804020002
1331,زوزن,11,169,171,919030001
1332,زولاچای,2,255,666,405010002
