id,name,shahr_type,ostan,shahrestan,bakhsh,amar_code
1,آب بر,0,14,288,785,1908022262
2,آب پخش,0,7,185,1,1803062308
3,آباد,0,7,124,674,1802022816
4,آبادان,0,13,1,757,601021270
5,آبادان 1,2,13,1,757,601021687
6,آبادان 2,2,13,1,757,601021688
7,آبادان 3,2,13,1,757,601022855
8,آباده,0,17,2,821,701041296
9,آباده طشک,0,17,66,822,735012199
10,آبدان,0,7,197,2,1805032484
11,آبدانان,0,6,3,627,1606021501
12,آبژدان,0,13,45,3,621012799
13,آبسرد,0,8,191,687,2302022269
14,آبش احمد,0,1,343,4,315032545
15,آبعلی,0,8,191,298,2302032629
16,آبگرم,0,18,15,5,2606022517
17,آبی بیگلو,0,3,425,1087,2408012493
18,آبیز,0,10,232,380,2909032898
19,آبیک,0,18,4,854,2604021535
20,آجین,0,30,29,134,1306022758
21,آذرشهر,0,1,5,222,321031201
22,آرادان,0,15,6,787,2006011549
23,آراللو,0,3,20,1095,2401042949
24,آران وبیدگل,0,4,7,597,1018021423
25,آرمرده,0,20,62,6,1201012457
26,آرین شهر,0,10,318,334,2904052645
27,آزادشهر,0,24,8,915,2710021182
28,آزادی,0,13,46,754,602022801
29,آسارا,0,5,336,7,3001032070
30,آستارا,0,25,9,930,101011117
31,آستانه,0,28,269,985,7011112
32,آستانه اشرفیه,0,25,10,931,102021119
33,آسمان آباد,0,6,146,629,1604022617
34,آشار,0,16,408,10,1113022893
35,آشتیان,0,28,11,978,2011103
36,آشخانه,0,12,384,751,2806031352
37,آغاجاری,0,13,12,758,626011278
38,آق قلا,0,24,13,916,2708021180
39,آقکند,0,1,413,471,310022401
40,آلاشت,0,27,260,964,208021170
41,آلونی,0,9,153,699,1410012473
42,آمل,0,27,14,955,201021149
43,آوا,0,12,384,357,2806012848
44,آواجیق,0,2,141,260,414012549
45,آوج,0,18,15,855,2606011536
46,آوه,0,28,236,984,6032827
47,آیسک,0,10,241,13,2906012346
48,ابرکوه,0,31,16,1012,2107021293
49,ابریشم,0,4,310,611,1008022252
50,ابوحمیظه,0,13,184,766,609022796
51,ابوزیدآباد,0,4,7,518,1018012279
52,ابوموسی,0,29,17,989,2201021563
53,ابهر,0,14,18,779,1901031528
54,اچاچی,0,1,413,651,310042842
55,احمد آباد مستوفی,0,8,33,15,2310032770
56,احمدآباد,0,31,22,1013,2101022265
57,احمدابادصولت,0,11,116,103,906042067
58,احمدسرگوراب,0,25,274,17,112012387
59,اختیارآباد,0,21,338,887,808052428
60,ادیمی,0,16,434,814,1115012353
61,اراک,0,28,19,977,1021101
62,اراک 1,2,28,19,977,1021678
63,اراک 2,2,28,19,977,1021679
64,اراک 3,2,28,19,977,1021680
65,اراک 4,2,28,19,977,1022858
66,اراک 5,2,28,19,977,1022859
67,اربطان,0,1,439,245,316012935
68,ارجمند,0,8,315,19,2314012634
69,ارد,0,17,361,20,727022903
70,ارداق,0,18,91,259,2601062577
71,اردبیل,0,3,20,584,2401011195
72,اردبیل 1,2,3,20,584,2401011662
73,اردبیل 2,2,3,20,584,2401011663
74,اردبیل 3,2,3,20,584,2401012575
75,اردبیل 4,2,3,20,584,2401012852
76,اردبیل 5,2,3,20,584,2401012873
77,اردستان,0,4,21,595,1001011395
78,اردکان,0,17,238,835,706021304
79,اردکان,0,31,22,1013,2101021551
80,اردل,0,9,23,696,1405011476
81,اردیموسی,0,3,249,332,2410022881
82,ارزوییه,0,21,24,870,823012315
83,ارسک,0,10,76,23,2908022726
84,ارسنجان,0,17,25,817,717011321
85,ارطه,0,27,317,969,210022747
86,ارکواز,0,6,400,633,1608011508
87,ارمغانخانه,0,14,230,451,1904062038
88,ارومیه,0,2,26,656,401041235
89,ارومیه  5,2,2,26,656,401042853
90,ارومیه 1,2,2,26,656,401042528
91,ارومیه 2,2,2,26,656,401042529
92,ارومیه 3,2,2,26,656,401042530
93,ارومیه 4,2,2,26,656,401042531
94,اروندکنار,0,13,1,27,601011269
95,ازگله,0,22,128,28,512022593
96,ازنا,0,26,27,945,1507021488
97,ازندریان,0,30,398,183,1302012253
98,اژیه,0,4,37,168,1002062248
99,اسالم,0,25,291,29,104052382
100,اسپکه,0,16,433,560,1107042506
101,استهبان,0,17,28,818,702021298
102,اسدآباد,0,30,29,1002,1306011469
103,اسدیه,0,10,181,709,2902032276
104,اسفدن,0,10,318,713,2904022643
105,اسفراین,0,12,30,744,2801021349
106,اسفرورین,0,18,113,30,2602012114
107,اسکو,0,1,31,636,322021204
108,اسلام آبادغرب,0,22,32,901,501031256
109,اسلام اباد,0,3,103,32,2406042750
110,اسلام شهر آق گل,0,30,398,1009,1302032871
111,اسلام شهر1,2,8,33,683,2310022289
112,اسلام شهر2,2,8,33,683,2310022290
113,اسلام شهر3,2,8,33,683,2310022560
114,اسلامشهر,0,8,33,683,2310021581
115,اسلامیه,0,10,303,33,2907031372
116,اسماعیل آباد,0,16,152,798,1103012979
117,اسیر,0,17,406,36,721042708
118,اشترینان,0,26,71,37,1502011490
119,اشتهارد,0,5,34,619,3005011584
120,اشکذر,0,31,35,1014,2108021560
121,اشکنان,0,17,375,38,715032212
122,اشنویه,0,2,36,657,413011252
123,اصغرآباد,0,4,166,602,1003012755
124,اصفهان,0,4,37,596,1002031406
125,اصفهان 1,2,4,37,596,1002031633
126,اصفهان 10,2,4,37,596,1002031642
127,اصفهان 11,2,4,37,596,1002032554
128,اصفهان 12,2,4,37,596,1002032001
129,اصفهان 13,2,4,37,596,1002032002
130,اصفهان 14,2,4,37,596,1002032089
131,اصفهان 15,2,4,37,596,1002031407
132,اصفهان 2,2,4,37,596,1002031634
133,اصفهان 3,2,4,37,596,1002031635
134,اصفهان 4,2,4,37,596,1002031636
135,اصفهان 5,2,4,37,596,1002031637
136,اصفهان 6,2,4,37,596,1002031638
137,اصفهان 7,2,4,37,596,1002031639
138,اصفهان 8,2,4,37,596,1002031640
139,اصفهان 9,2,4,37,596,1002031641
140,اصلاندوز,0,3,38,585,2411012166
141,اطاقور,0,25,380,39,110022385
142,افزر,0,17,329,40,720012653
143,افوس,0,4,86,599,1024012250
144,اقبالیه,0,18,322,858,2603052125
145,اقلید,0,17,39,819,703021299
146,الشتر,0,26,253,953,1509021493
147,النی,0,3,395,592,2404022948
148,الوان,0,13,276,384,614012314
149,الوند,0,18,40,853,2605021539
150,الهایی,0,13,49,755,603022791
151,الیگودرز,0,26,41,946,1501031489
152,امام حسن,0,7,198,44,1808012370
153,امام شهر,0,17,329,842,720022011
154,امامزاده عبدالله,0,27,14,46,201042772
155,املش,0,25,42,929,113021134
156,امیدیه,0,13,43,752,616022111
157,امیرکلا,0,27,55,956,202021153
158,امیریه,0,15,177,47,2001012263
159,امین شهر,0,21,44,49,820012318
160,انابد,0,11,69,48,923012440
161,انار,0,21,44,49,820011334
162,انارستان,0,7,133,301,1809012087
163,انارک,0,4,418,50,1013011433
164,انبارآلوم,0,24,13,1084,2708012509
165,اندوهجرد,0,21,338,400,808022603
166,اندیشه,0,8,282,690,2309022633
167,اندیمشک,0,13,46,754,602021271
168,اورامان تخت,0,20,250,54,1209012752
169,اوز,0,17,47,820,736011316
170,اهر,0,1,48,637,302021200
171,اهرم,0,7,124,674,1802021518
172,اهل,0,17,375,38,715032235
173,اهواز,0,13,49,755,603021272
174,اهواز1,2,13,49,755,603021625
175,اهواز2,2,13,49,755,603021626
176,اهواز3,2,13,49,755,603021684
177,اهواز4,2,13,49,755,603021685
178,اهواز5,2,13,49,755,603021686
179,اهواز6,2,13,49,755,603022668
180,اهواز7,2,13,49,755,603022669
181,اهواز8,2,13,49,755,603022670
182,ایج,0,17,28,818,702022552
183,ایذه,0,13,51,756,604031274
184,ایرانشهر,0,16,52,794,1101051443
185,ایزدخواست,0,17,2,821,701042335
186,ایزدشهر,0,27,426,975,214032648
187,ایلام,0,6,53,625,1601031500
188,ایلخچی,0,1,31,57,322011205
189,ایمانشهر,0,4,310,611,1008022445
190,اینچه برون,0,24,371,250,2706022496
191,ایوان,0,6,54,626,1607021498
192,ایوانکی,0,15,363,58,2004011548
193,ایواوغلی,0,2,174,59,403042405
194,ایور,0,12,364,750,2807012053
195,باب انار,0,17,161,829,734012234
196,باباحیدر,0,9,297,60,1403032124
197,بابارشانی,0,20,98,204,1202012460
198,بابامنیر,0,17,401,575,713022781
199,بابکان,0,27,14,257,201052875
200,بابل,0,27,55,956,202021154
201,بابل 1,2,27,55,956,202022743
202,بابل 2,2,27,55,956,202022744
203,بابلسر,0,27,56,957,216021151
204,باجگیران,0,11,328,62,913011376
205,باخرز,0,11,57,715,937012134
206,بادرود,0,4,421,45,1015021441
207,بادوله,0,7,186,473,1804012818
208,بار,0,11,432,743,917042041
209,باروق,0,2,411,63,408052592
210,بازار جمعه,0,25,382,382,116012510
211,بازرگان,0,2,383,64,406052231
212,بازفت,0,9,353,65,1406012841
213,باسمنج,0,1,115,640,303031213
214,باشت,0,23,58,892,1707012130
215,باغ بهادران,0,4,378,67,1012011429
216,باغ ملک,0,13,59,759,615021273
217,باغستان,0,8,282,690,2309022632
218,باغشاد,0,4,378,614,1012032788
219,باغین,0,21,338,887,808052239
220,بافت,0,21,60,871,801031328
221,بافران,0,4,418,616,1013032078
222,بافق,0,31,61,1015,2102021554
223,باقرشهر,0,8,221,519,2303032270
224,بالاده,0,17,331,163,710012423
225,بالاشهر,0,29,216,167,2207032911
226,بانوره,0,22,107,76,503012761
227,بانه,0,20,62,860,1201021454
228,بایک,0,11,117,75,905012341
229,باینگان,0,22,107,76,503012103
230,بجستان,0,11,64,716,931011382
231,بجنورد,0,12,65,745,2802041353
232,بجنورد1,2,12,65,745,2802042699
233,بجنورد2,2,12,65,745,2802042700
234,بخ,0,31,119,525,2103042976
235,بخشایش,0,1,439,652,316022230
236,بدره,0,6,67,628,1610011502
237,برازجان,0,7,185,676,1803031520
238,بردخون,0,7,197,80,1805012483
239,بردستان,0,7,197,678,1805022737
240,بردسکن,0,11,69,717,923021379
241,بردسیر,0,21,70,872,810011348
242,برده رشه,0,20,393,227,1206012753
243,برزک,0,4,332,82,1010052542
244,برزول,0,30,428,314,1303032659
245,برف انبار,0,4,306,610,1007012569
246,بروات,0,21,77,83,802071331
247,بروجرد,0,26,71,947,1502021492
248,بروجرد1,2,26,71,947,1502022688
249,بروجرد2,2,26,71,947,1502022689
250,بروجن,0,9,72,697,1401031478
251,بره سر,0,25,217,247,106042383
252,بزمان,0,16,52,84,1101012450
253,بزنجان,0,21,60,871,801032200
254,بستان,0,13,184,86,609011283
255,بستان آباد,0,1,73,638,313021207
256,بستک,0,29,74,990,2209021568
257,بسطام,0,15,270,87,2003011545
258,بشرویه,0,10,76,706,2908011370
259,بفروییه,0,31,414,89,2106032024
260,بلاوه,0,6,146,306,1604052851
261,بلبان آباد,0,20,195,90,1210022042
262,بلداجی,0,9,72,91,1401041477
263,بلده,0,27,426,92,214012396
264,بلورد,0,21,264,93,806052825
265,بلوک,0,21,138,34,803052769
266,بم,0,21,77,873,802031330
267,بمپور,0,16,78,795,1120012172
268,بن,0,9,79,698,1409011480
269,بناب,0,1,80,639,312011221
270,بناب مرند,0,1,391,649,307022589
271,بنارویه,0,17,373,97,711072182
272,بنت,0,16,433,98,1107012456
273,بنجار,0,16,223,802,1104042453
274,بندرامام خمینی,0,13,85,101,605011275
275,بندرانزلی,0,25,81,932,103011120
276,بندرانزلی 1,2,25,81,932,103012538
277,بندرانزلی 2,2,25,81,932,103012539
278,بندرترکمن,0,24,118,918,2702021156
279,بندرجاسک,0,29,130,995,2206021565
280,بندردیر,0,7,197,678,1805021522
281,بندردیلم,0,7,198,679,1808021524
282,بندرریگ,0,7,370,302,1807021525
283,بندرعباس,0,29,82,992,2202041567
284,بندرعباس 1,2,29,82,992,2202041697
285,بندرعباس 2,2,29,82,992,2202041698
286,بندرعباس 3,2,29,82,992,2202042091
287,بندرکنگان,0,7,346,681,1806021523
288,بندرگز,0,24,83,917,2701011178
289,بندرگناوه,0,7,370,682,1807031526
290,بندرلنگه,0,29,84,993,2203051571
291,بندرماهشهر,0,13,85,761,605021276
292,بندزرک,0,29,416,102,2205052910
293,بنک,0,7,346,681,1806022620
294,بوانات,0,17,87,823,716021295
295,بوستان,0,23,58,105,1707022917
296,بوشکان,0,7,185,106,1803052817
297,بوشهر,0,7,88,673,1801021517
298,بوشهر1,2,7,88,673,1801022692
299,بوشهر2,2,7,88,673,1801022693
300,بوکان,0,2,89,658,410021247
301,بومهن,0,8,108,107,2320012268
302,بویین زهرا,0,18,91,856,2601041537
303,بویین سفلی,0,20,62,1069,1201042459
304,بویین ومیاندشت,0,4,86,599,1024011416
305,بهاباد,0,31,92,1016,2111021553
306,بهار,0,30,93,1003,1307021471
307,بهاران شهر,0,4,310,133,1008012444
308,بهارستان,0,4,37,596,1002032611
309,بهارستان,0,7,133,675,1809022933
310,بهبهان,0,13,95,762,606031279
311,بهرمان,0,21,214,1075,804042427
312,بهشهر,0,27,96,958,204021158
313,بهمن,0,17,2,110,701052198
314,بهنمیر,0,27,56,112,216032393
315,بیارجمند,0,15,270,113,2003022161
316,بیجار,0,20,98,861,1202031455
317,بیدخت,0,11,369,740,915021383
318,بیدخون,0,7,294,680,1810012932
319,بیدروبه,0,13,46,42,602012803
320,بیدستان,0,18,40,578,2605012578
321,بیده,0,4,257,123,1005032923
322,بیران شهر,0,26,157,115,1503032475
323,بیرجند,0,10,99,707,2901041355
324,بیرجند1,2,10,99,707,2901042701
325,بیرجند2,2,10,99,707,2901042702
326,بیرم,0,17,373,116,711052219
327,بیستون,0,22,438,117,511012233
328,بیضا,0,17,100,824,731012503
329,بیکاء,0,29,216,118,2207042006
330,بیله سوار,0,3,101,586,2402011230
331,پاتاوه,0,23,192,121,1704012084
332,پارس آباد,0,3,103,587,2406011231
333,پارسیان,0,29,104,994,2211021569
334,پارود,0,16,202,124,1108052890
335,پاریز,0,21,264,125,806022561
336,پاکدشت,0,8,106,684,2313022120
337,پاوه,0,22,107,902,503021261
338,پایین هولار,0,27,233,497,207052746
339,پردنجان,0,9,297,185,1403042730
340,پردیس,0,8,108,107,2320012628
341,پرند,0,8,208,688,2312022826
342,پرندک,0,28,228,983,10022228
343,پره سر,0,25,213,128,114011121
344,پل,0,29,164,997,2210022939
345,پل سفید,0,27,260,964,208021171
346,پلان,0,16,143,131,1102042894
347,پلدختر,0,26,109,948,1508011497
348,پلدشت,0,2,110,659,415021243
349,پلنگ آباد,0,5,34,132,3005022981
350,پول,0,27,427,478,215022713
351,پهله,0,6,196,313,1603012127
352,پیرانشهر,0,2,111,660,402011236
353,پیربکران,0,4,310,133,1008012215
354,پیرتاج,0,20,98,204,1202012785
355,پیش قلعه,0,12,384,573,2806022568
356,پیشوا,0,8,112,685,2318011592
357,پیشین,0,16,202,137,1108012501
358,تاتارعلیا,0,24,206,919,2711022765
359,تازه آباد,0,22,128,903,512012185
360,تازه شهر,0,2,255,666,405011241
361,تازه کندانگوت,0,3,365,52,2405012492
362,تازه کندنصرت آباد,0,2,122,141,412022926
363,تازیان پایین,0,29,82,992,2202042812
364,تاکستان,0,18,113,857,2602041532
365,تایباد,0,11,114,718,904021357
366,تبریز,0,1,115,640,303031214
367,تبریز 10,2,1,115,640,303032072
368,تبریز 9,2,1,115,640,303032071
369,تبریز1-,2,1,115,640,303031621
370,تبریز2-,2,1,115,640,303031622
371,تبریز3-,2,1,115,640,303031623
372,تبریز4-,2,1,115,640,303031624
373,تبریز5,2,1,115,640,303031651
374,تبریز6,2,1,115,640,303031652
375,تبریز7,2,1,115,640,303031653
376,تبریز8,2,1,115,640,303032521
377,تجریش,0,8,275,290,2304012117
378,تخت,0,29,82,140,2202052088
379,تربت جام,0,11,116,719,906021363
380,تربت حیدریه,0,11,117,720,905061361
381,ترک,0,1,413,502,310032402
382,ترکالکی,0,13,359,427,620012007
383,ترکمانچای,0,1,413,142,310012144
384,تسوج,0,1,273,143,314031208
385,تشان,0,13,95,144,606042798
386,تفت,0,31,119,1017,2103021555
387,تفرش,0,28,121,979,3021104
388,تکاب,0,2,122,661,412011249
389,تلخاب,0,28,302,244,13022941
390,تنکابن,0,27,123,959,205021161
391,تنکمان,0,5,422,147,3003022025
392,تنگ ارم,0,7,185,25,1803042618
393,توپ آغاج,0,20,98,861,1202032784
394,توتکابن,0,25,217,281,106012229
395,توحید,0,6,442,635,1611012574
396,تودشک,0,4,37,510,1002022513
397,توره,0,28,269,307,7032582
398,تویسرکان,0,30,125,1004,1301021464
399,تهران,0,8,126,686,2301021576
400,تهران 1,2,8,126,686,2301021601
401,تهران 10,2,8,126,686,2301021610
402,تهران 11,2,8,126,686,2301021611
403,تهران 12,2,8,126,686,2301021612
404,تهران 13,2,8,126,686,2301021613
405,تهران 14,2,8,126,686,2301021614
406,تهران 15,2,8,126,686,2301021615
407,تهران 16,2,8,126,686,2301021616
408,تهران 17,2,8,126,686,2301021617
409,تهران 18,2,8,126,686,2301021618
410,تهران 19,2,8,126,686,2301021619
411,تهران 2,2,8,126,686,2301021602
412,تهران 20,2,8,126,686,2301021620
413,تهران 21,2,8,126,686,2301022225
414,تهران 22,2,8,126,686,2301022226
415,تهران 3,2,8,126,686,2301021603
416,تهران 4,2,8,126,686,2301021604
417,تهران 5,2,8,126,686,2301021605
418,تهران 6,2,8,126,686,2301021606
419,تهران 7,2,8,126,686,2301021607
420,تهران 8,2,8,126,686,2301021608
421,تهران 9,2,8,126,686,2301021609
422,تیتکانلو,0,12,298,230,2805012079
423,تیران,0,4,127,600,1019021436
424,تیرور,0,29,416,1001,2205032814
425,تیکمه داش,0,1,73,150,313012295
426,تیمورلو,0,1,5,548,321012763
427,ثمرین,0,3,20,152,2401062882
428,جاجرم,0,12,129,746,2803031350
429,جالق,0,16,240,156,1106012191
430,جاورسیان,0,28,168,452,12012073
431,جایزان,0,13,43,157,616012420
432,جبالبارز,0,21,138,158,803022237
433,جزینک,0,16,231,165,1110012978
434,جعفرآباد,0,3,101,455,2402022209
435,جعفراباد,0,6,53,376,1601042974
436,جعفریه,0,19,327,166,2501012274
437,جغتای,0,11,131,721,934011596
438,جلفا,0,1,132,641,319021225
439,جلین,0,24,362,924,2705022018
440,جم,0,7,133,675,1809022259
441,جناح,0,29,74,176,2209012625
442,جنت شهر,0,17,175,177,705052179
443,جنت مکان,0,13,359,773,620022716
444,جندق,0,4,171,604,1023012203
445,جنگل,0,11,212,179,927012606
446,جوادآباد,0,8,435,180,2306022168
447,جوادیه الهیه,0,21,214,1075,804042954
448,جوان قلعه,0,1,293,459,325012843
449,جوانرود,0,22,134,904,509031260
450,جوپار,0,21,338,574,808041343
451,جورقان,0,30,443,1011,1304072254
452,جوزدان,0,4,419,617,1014022045
453,جوزم,0,21,279,267,807022031
454,جوشقان قالی,0,4,332,465,1010022447
455,جوکار,0,30,398,183,1302012468
456,جولکی,0,13,12,184,626022920
457,جونقان,0,9,297,185,1403041485
458,جویبار,0,27,135,960,221021175
459,جویم,0,17,373,186,711022183
460,جهرم,0,17,137,826,704041301
461,جیرفت,0,21,138,874,803041332
462,جیرنده,0,25,217,429,106022138
463,چابکسر,0,25,219,187,107041135
464,چاپشلو,0,11,179,188,907012202
465,چادگان,0,4,139,601,1020021415
466,چارک,0,29,84,405,2203022266
467,چاف و چمخاله,0,25,380,943,110012076
468,چالانچولان,0,26,193,372,1505012363
469,چالوس,0,27,142,961,220021190
470,چاه بهار,0,16,143,797,1102021446
471,چاه دادخدا,0,21,326,190,816012908
472,چاه مبارک,0,7,294,191,1810022878
473,چاه ورز,0,17,375,193,715052906
474,چترود,0,21,338,194,808071345
475,چخماق,0,11,224,356,935022950
476,چرام,0,23,145,895,1706011513
477,چرمهین,0,4,378,67,1012012121
478,چشمه شیرین,0,6,67,1092,1610022909
479,چغادک,0,7,88,196,1801032481
480,چغامیش,0,13,183,197,608032717
481,چقابل,0,26,220,952,1511022256
482,چکنه,0,11,432,349,917032564
483,چگرد,0,16,189,169,1112022914
484,چلگرد,0,9,353,703,1406022360
485,چلیچه,0,9,297,185,1403042806
486,چم پلک,0,26,147,388,1510022973
487,چم گلک,0,13,46,754,602022802
488,چمران,0,13,85,761,605022311
489,چمستان,0,27,426,201,214022119
490,چمگردان,0,4,378,614,1012031430
491,چمن سلطان,0,26,41,78,1501062876
492,چناران,0,11,148,723,918021386
493,چناران شهر,0,12,65,745,2802042847
494,چناره,0,20,393,347,1206022464
495,چوار,0,6,53,205,1601021499
496,چوبر,0,25,291,223,104062585
497,چورزق,0,14,288,206,1908012486
498,چویبده,0,13,1,757,601022010
499,چهارباغ,0,5,235,207,3002042631
500,چهاربرج,0,2,411,581,408042232
501,چهاردانگه,0,8,33,209,2310012489
502,چیتاب,0,23,90,477,1701052083
503,حاجی آباد,0,10,232,710,2909012347
504,حاجی آباد,0,17,229,834,719021302
505,حاجی اباد,0,29,149,996,2208021566
506,حاجیلار,0,2,144,212,416012879
507,حبیب آباد,0,4,68,213,1022011397
508,حر,0,13,276,770,614022649
509,حسامی,0,17,245,836,732012095
510,حسن آباد,0,8,221,440,2303022167
511,حسن اباد,0,4,37,161,1002042187
512,حسن اباد,0,17,39,216,703032082
513,حسین آباد,0,20,259,217,1204052895
514,حسینیه,0,13,46,42,602012595
515,حصارگرمخان,0,12,65,532,2802052431
516,حکم اباد,0,11,136,425,936022889
517,حلب,0,14,50,218,1906012485
518,حمزه,0,13,183,345,608012035
519,حمیدیا,0,31,448,1021,2105032163
520,حمیدیه,0,13,150,763,625012105
521,حمیل,0,22,32,219,501012411
522,حنا,0,4,257,606,1005022249
523,حویق,0,25,291,223,104062584
524,خاتون اباد,0,21,279,882,807012086
525,خارک,0,7,88,224,1801011516
